"","X","age","net","gun","sex","year","nruns","runs_again"
"1409",5726,49,85.35,89.18,"M",2001,8,TRUE
"1410",5734,44,NA,94.03,"M",2008,3,FALSE
"1411",5737,67,90.2,95.87,"M",2001,6,TRUE
"1412",5743,43,83.18,85.23,"M",2004,4,TRUE
"1413",5747,38,58.87,58.93,"M",2004,3,FALSE
"1414",5750,35,77.68,78.72,"M",2001,5,TRUE
"1415",5755,37,NA,96.98,"M",2008,3,FALSE
"1416",5758,48,65.6,66.17,"M",2001,9,TRUE
"1417",5767,49,59.27,59.27,"M",2002,4,TRUE
"1418",5771,35,NA,82.95,"M",2008,3,FALSE
"1419",5774,25,99.17,103.2,"F",2003,3,FALSE
"1420",5777,30,76.75,78.67,"F",2004,4,TRUE
"1421",5781,29,88.07,91.55,"F",2001,3,FALSE
"1422",5784,33,82.38,84.62,"F",2003,6,TRUE
"1423",5790,39,79.9,80.88,"F",2005,5,TRUE
"1424",5795,57,104.4,108.1,"F",2003,5,TRUE
"1425",5800,44,104.8,110.9,"F",2004,3,FALSE
"1426",5803,26,NA,63,"F",2007,3,FALSE
"1427",5806,28,100.8,107,"F",2004,6,TRUE
"1428",5812,32,88.75,100.8,"F",2001,4,TRUE
"1429",5816,40,88.17,89.17,"F",2006,4,TRUE
"1430",5820,46,111.8,118.1,"F",2002,3,FALSE
"1431",5823,32,NA,118.7,"F",2008,3,FALSE
"1432",5826,45,129,136.4,"F",2004,3,FALSE
"1433",5829,31,82.2,83.95,"F",2002,3,FALSE
"1434",5832,48,94.5,99.92,"F",2005,3,FALSE
"1435",5835,59,111.5,117.4,"F",2004,3,FALSE
"1436",5838,33,NA,85.12,"F",2008,3,FALSE
"1437",5841,33,99.58,105,"F",2003,5,TRUE
"1438",5846,46,104.2,109.9,"F",2002,7,TRUE
"1439",5853,45,96.58,98.62,"F",2002,3,FALSE
"1440",5856,45,NA,103,"F",2007,3,FALSE
"1441",5859,48,83.77,84.48,"F",2002,5,TRUE
"1442",5864,41,98.37,105.6,"F",2006,4,TRUE
"1443",5868,39,122.5,128.3,"F",2002,3,FALSE
"1444",5871,43,92.15,93.37,"F",2002,4,TRUE
"1445",5875,52,101,104.6,"F",2004,3,FALSE
"1446",5878,37,100.8,106.4,"F",2002,5,TRUE
"1447",5883,30,92.13,97.03,"F",2001,4,TRUE
"1448",5887,68,110.4,113.8,"M",2005,3,FALSE
"1449",5890,61,74.72,76.28,"M",2001,3,FALSE
"1450",5893,44,74.07,75,"M",2001,8,TRUE
"1451",5901,54,104.2,108,"M",2001,7,TRUE
"1452",5908,42,99.65,103.4,"F",2005,3,FALSE
"1453",5911,62,120.2,122.4,"F",2004,4,TRUE
"1454",5915,28,NA,83.48,"M",2007,3,FALSE
"1455",5918,25,NA,80.33,"M",2007,3,FALSE
"1456",5921,34,111.2,118,"M",2005,4,TRUE
"1457",5925,33,NA,107.5,"F",2008,3,FALSE
"1458",5928,77,113.5,113.6,"M",2002,3,FALSE
"1459",5931,28,73.43,74.2,"M",2004,7,TRUE
"1460",5938,52,98.85,99.57,"M",2002,4,TRUE
"1461",5942,52,99.03,104,"F",2004,4,TRUE
"1462",5946,55,97.53,99.98,"F",2001,5,TRUE
"1463",5951,33,65.55,65.82,"M",2001,4,TRUE
"1464",5955,44,NA,94.07,"F",2007,3,FALSE
"1465",5958,33,75.93,77.38,"F",2004,3,FALSE
"1466",5961,37,NA,100.3,"M",2007,3,FALSE
"1467",5964,62,NA,119.2,"M",2007,3,FALSE
"1468",5967,52,81.25,86.48,"M",2006,3,FALSE
"1469",5970,31,77.37,79.98,"M",2001,3,FALSE
"1470",5973,59,99.55,105.1,"M",2003,3,FALSE
"1471",5976,72,94.68,95.38,"M",2003,3,FALSE
"1472",5979,42,78.95,79.77,"M",2006,3,FALSE
"1473",5982,51,91.35,91.65,"M",2001,5,TRUE
"1474",5987,34,73.32,73.97,"M",2001,5,TRUE
"1475",5992,59,81,89.12,"M",2004,6,TRUE
"1476",5998,37,78.25,80.17,"M",2003,3,FALSE
"1477",6001,53,NA,85.6,"M",2008,3,FALSE
"1478",6004,71,82.47,82.57,"M",2001,3,FALSE
"1479",6007,75,116.9,119.7,"M",2002,6,TRUE
"1480",6013,56,94.18,97.8,"M",2001,7,TRUE
"1481",6020,35,63.17,63.33,"M",2002,4,TRUE
"1482",6024,76,NA,111.7,"M",2007,3,FALSE
"1483",6027,48,72.45,73.4,"M",2001,7,TRUE
"1484",6034,62,102.4,104.9,"M",2002,4,TRUE
"1485",6038,51,NA,105.6,"F",2008,3,FALSE
"1486",6041,45,101,106.2,"F",2001,3,FALSE
"1487",6044,40,83.5,84.28,"F",2003,3,FALSE
"1488",6047,40,66.58,66.65,"F",2004,4,TRUE
"1489",6051,46,NA,84.65,"F",2008,3,FALSE
"1490",6054,36,99.85,104.2,"F",2001,6,TRUE
"1491",6060,62,97.38,98.3,"F",2002,4,TRUE
"1492",6064,40,61.1,61.15,"F",2001,3,FALSE
"1493",6067,51,105.6,109.3,"F",2005,5,TRUE
"1494",6072,36,93.05,95.55,"F",2003,7,TRUE
"1495",6079,42,105.6,107.8,"F",2003,4,TRUE
"1496",6083,60,112.6,115.2,"F",2001,5,TRUE
"1497",6088,24,NA,104.7,"F",2008,3,FALSE
"1498",6091,27,90.98,97.85,"M",2004,5,TRUE
"1499",6096,52,137.9,140.3,"F",2003,6,TRUE
"1500",6102,37,NA,129.6,"F",2008,3,FALSE
"1501",6105,33,91.25,92.07,"F",2001,7,TRUE
"1502",6112,52,NA,98.28,"F",2008,3,FALSE
"1503",6115,53,93.28,95.05,"F",2002,9,TRUE
"1504",6124,47,72.03,72.32,"F",2005,5,TRUE
"1505",6129,43,82.67,84.23,"F",2005,4,TRUE
"1506",6133,58,98.13,98.98,"F",2003,4,TRUE
"1507",6137,40,96.63,98.33,"F",2005,4,TRUE
"1508",6141,24,NA,82.9,"F",2007,3,FALSE
"1509",6144,29,93.72,101.6,"F",2005,5,TRUE
"1510",6149,52,102.8,107.3,"M",2004,5,TRUE
"1511",6154,52,79.73,80.28,"M",2002,3,FALSE
"1512",6157,40,NA,65.37,"M",2008,3,FALSE
"1513",6160,63,107.7,112.6,"M",2003,6,TRUE
"1514",6166,53,66.35,66.58,"M",2004,3,FALSE
"1515",6169,51,NA,74.47,"M",2007,3,FALSE
"1516",6172,41,77.52,81.98,"M",2003,3,FALSE
"1517",6175,67,76.82,77.75,"M",2006,3,FALSE
"1518",6178,36,81.47,83.37,"M",2004,4,TRUE
"1519",6182,53,91.55,95.78,"M",2004,4,TRUE
"1520",6186,25,111.7,116.8,"M",2001,3,FALSE
"1521",6189,47,62.98,63.42,"M",2001,7,TRUE
"1522",6196,37,NA,82.27,"M",2007,4,TRUE
"1523",6200,33,NA,81.3,"M",2007,4,TRUE
"1524",6204,52,77.87,78.42,"M",2002,4,TRUE
"1525",6208,27,61.57,61.65,"M",2002,4,TRUE
"1526",6212,48,103.8,108.7,"M",2006,3,FALSE
"1527",6215,47,72.33,73.35,"M",2006,5,TRUE
"1528",6220,30,87.32,89.43,"M",2001,8,TRUE
"1529",6228,49,71.92,72.47,"M",2006,3,FALSE
"1530",6231,38,80.95,80.95,"M",2001,3,FALSE
"1531",6234,44,NA,113.5,"M",2008,3,FALSE
"1532",6237,59,96.05,102.1,"M",2002,5,TRUE
"1533",6242,53,NA,102.6,"M",2008,3,FALSE
"1534",6245,39,NA,67.17,"M",2007,4,TRUE
"1535",6249,40,NA,100.5,"M",2008,3,FALSE
"1536",6252,33,91.67,96.33,"M",2004,7,TRUE
"1537",6259,27,79.05,79.58,"M",2003,5,TRUE
"1538",6264,31,72.18,72.92,"M",2006,3,FALSE
"1539",6267,53,94.3,100.2,"M",2005,5,TRUE
"1540",6272,62,89.65,94.55,"M",2002,8,TRUE
"1541",6280,32,79.13,79.73,"M",2003,3,FALSE
"1542",6283,37,65.6,65.83,"M",2004,5,TRUE
"1543",6288,31,NA,77.23,"M",2008,3,FALSE
"1544",6291,32,92.05,98.92,"M",2006,5,TRUE
"1545",6296,51,91.4,92.82,"M",2006,3,FALSE
"1546",6299,31,NA,97.37,"F",2008,3,FALSE
"1547",6302,30,70.87,73.83,"M",2003,4,TRUE
"1548",6306,15,80.25,80.87,"M",2003,6,TRUE
"1549",6312,47,NA,77.08,"M",2007,3,FALSE
"1550",6315,41,77.33,77.63,"M",2005,4,TRUE
"1551",6319,50,91.95,96.5,"M",2006,4,TRUE
"1552",6323,60,NA,92.73,"M",2007,4,TRUE
"1553",6327,58,84.12,87.45,"M",2001,9,TRUE
"1554",6336,39,86.75,90.05,"M",2002,3,FALSE
"1555",6339,45,100.3,105.2,"M",2001,4,TRUE
"1556",6343,34,87.7,91.85,"M",2006,5,TRUE
"1557",6348,54,98.02,99.48,"M",2004,5,TRUE
"1558",6353,53,81.28,92.35,"M",2001,3,FALSE
"1559",6356,51,88.23,91.93,"M",2005,4,TRUE
"1560",6360,45,65.62,65.83,"M",2004,4,TRUE
"1561",6364,45,68.6,68.83,"M",2002,7,TRUE
"1562",6371,32,76.15,76.63,"M",2003,3,FALSE
"1563",6374,55,94.1,99.17,"M",2004,6,TRUE
"1564",6380,61,112.2,116.5,"M",2005,3,FALSE
"1565",6383,42,NA,98.3,"M",2008,3,FALSE
"1566",6386,46,69.98,70.17,"M",2001,7,TRUE
"1567",6393,55,91.2,94.48,"M",2005,4,TRUE
"1568",6397,28,NA,79.93,"F",2008,3,FALSE
"1569",6400,35,83.73,85.27,"F",2004,3,FALSE
"1570",6403,51,NA,95.52,"M",2008,3,FALSE
"1571",6406,47,88.1,94.63,"F",2003,3,FALSE
"1572",6409,80,148.6,152.3,"F",2004,3,FALSE
"1573",6412,61,91.58,92.48,"F",2001,3,FALSE
"1574",6415,29,NA,98.78,"F",2007,3,FALSE
"1575",6418,33,50.8,50.85,"M",2003,6,TRUE
"1576",6424,28,NA,67.62,"M",2007,3,FALSE
"1577",6427,62,NA,90.75,"M",2007,4,TRUE
"1578",6431,47,96.25,101.1,"M",2001,9,TRUE
"1579",6440,54,NA,89.43,"M",2007,3,FALSE
"1580",6443,35,69.82,70.8,"M",2005,3,FALSE
"1581",6446,51,80.32,82.37,"M",2001,4,TRUE
"1582",6450,74,108.4,114,"M",2006,5,TRUE
"1583",6455,46,80.57,82.67,"M",2001,9,TRUE
"1584",6464,62,107.2,114,"M",2003,6,TRUE
"1585",6470,32,NA,96.27,"M",2007,4,TRUE
"1586",6474,49,65.18,65.6,"M",2003,3,FALSE
"1587",6477,68,90,90.18,"M",2002,7,TRUE
"1588",6484,51,92.17,94.62,"M",2001,3,FALSE
"1589",6487,61,86.73,88.45,"M",2005,3,FALSE
"1590",6490,35,74.4,76.22,"M",2004,4,TRUE
"1591",6494,54,101.2,104.3,"M",2001,9,TRUE
"1592",6503,18,101.2,104.3,"M",2001,5,TRUE
"1593",6508,47,71.63,72.08,"M",2001,6,TRUE
"1594",6514,45,NA,83.03,"M",2008,3,FALSE
"1595",6517,40,78.38,80.33,"M",2003,6,TRUE
"1596",6523,44,NA,83.1,"M",2007,4,TRUE
"1597",6527,29,87.6,92.52,"M",2001,5,TRUE
"1598",6532,59,120.7,124.3,"M",2003,3,FALSE
"1599",6535,52,99,103,"M",2005,5,TRUE
"1600",6540,39,80.8,86.03,"M",2004,4,TRUE
"1601",6544,39,90.68,97.17,"M",2004,3,FALSE
"1602",6547,46,NA,91.87,"M",2008,3,FALSE
"1603",6550,51,96.18,98.02,"M",2001,5,TRUE
"1604",6555,35,80.73,84.3,"F",2004,6,TRUE
"1605",6561,32,96.35,103.6,"F",2005,4,TRUE
"1606",6565,45,115.2,117.5,"F",2002,6,TRUE
"1607",6571,36,87.38,99.13,"F",2001,3,FALSE
"1608",6574,54,110.4,112.6,"F",2004,3,FALSE
"1609",6577,46,99.68,103.4,"F",2003,3,FALSE
"1610",6580,30,104.2,111.8,"F",2004,3,FALSE
"1611",6583,46,NA,97.42,"F",2008,3,FALSE
"1612",6586,39,NA,104.3,"F",2008,3,FALSE
"1613",6589,49,93.13,96.03,"F",2001,3,FALSE
"1614",6592,39,96.2,102.3,"F",2005,5,TRUE
"1615",6597,45,NA,95.93,"F",2008,3,FALSE
"1616",6600,53,NA,101.3,"F",2007,4,TRUE
"1617",6604,45,60.63,60.7,"M",2002,6,TRUE
"1618",6610,48,NA,69.92,"F",2008,3,FALSE
"1619",6613,28,NA,86.53,"F",2007,4,TRUE
"1620",6617,66,127.3,132.1,"F",2004,3,FALSE
"1621",6620,39,NA,105.8,"F",2007,4,TRUE
"1622",6624,47,121.4,130,"F",2006,5,TRUE
"1623",6629,34,NA,121.4,"F",2007,3,FALSE
"1624",6632,30,NA,117.8,"F",2007,3,FALSE
"1625",6635,33,NA,103.2,"F",2008,3,FALSE
"1626",6638,25,NA,106.4,"F",2008,3,FALSE
"1627",6641,33,86.33,93.72,"F",2004,3,FALSE
"1628",6644,51,89.88,90.98,"F",2004,3,FALSE
"1629",6647,39,84.43,88.7,"F",2002,3,FALSE
"1630",6650,26,98.67,102.8,"F",2005,3,FALSE
"1631",6653,25,87.85,91.13,"F",2005,3,FALSE
"1632",6656,40,78.25,79.97,"F",2005,3,FALSE
"1633",6659,30,97.1,101.4,"F",2001,3,FALSE
"1634",6662,52,NA,90.22,"F",2007,3,FALSE
"1635",6665,36,64.1,64.17,"F",2004,5,TRUE
"1636",6670,47,NA,118.7,"F",2008,3,FALSE
"1637",6673,45,NA,90.97,"F",2007,3,FALSE
"1638",6676,43,90.5,93.42,"F",2002,3,FALSE
"1639",6679,29,NA,75.65,"F",2007,4,TRUE
"1640",6683,27,103.6,108.7,"F",2004,3,FALSE
"1641",6686,34,NA,99.07,"F",2007,4,TRUE
"1642",6690,41,81.7,84.7,"F",2004,3,FALSE
"1643",6693,44,84.92,89.92,"F",2005,3,FALSE
"1644",6696,27,73.55,73.73,"F",2005,3,FALSE
"1645",6699,32,84.92,89.53,"F",2002,5,TRUE
"1646",6704,25,88.37,90,"F",2005,3,FALSE
"1647",6707,48,NA,83.28,"F",2007,4,TRUE
"1648",6711,38,NA,131.2,"F",2008,3,FALSE
"1649",6714,30,75.42,76.4,"F",2003,5,TRUE
"1650",6719,29,NA,100.6,"F",2007,4,TRUE
"1651",6723,33,97.15,100.1,"F",2005,3,FALSE
"1652",6726,29,71.3,71.83,"F",2003,5,TRUE
"1653",6731,30,87.75,90.95,"F",2001,6,TRUE
"1654",6737,50,110.7,116.2,"F",2005,4,TRUE
"1655",6741,30,81.78,82.33,"F",2003,3,FALSE
"1656",6744,34,98.12,101,"F",2001,4,TRUE
"1657",6748,30,95.13,98.13,"F",2003,3,FALSE
"1658",6751,30,NA,101.4,"F",2007,4,TRUE
"1659",6755,57,92.9,96.37,"F",2002,4,TRUE
"1660",6759,51,85.82,86.07,"F",2001,9,TRUE
"1661",6768,35,81.03,85.67,"F",2004,4,TRUE
"1662",6772,37,104.8,108.8,"F",2005,4,TRUE
"1663",6776,55,138,140.4,"F",2003,6,TRUE
"1664",6782,52,103.8,109.2,"F",2002,3,FALSE
"1665",6785,39,103.7,109.9,"F",2003,4,TRUE
"1666",6789,38,NA,118.8,"F",2007,3,FALSE
"1667",6792,35,86.4,87.78,"F",2003,6,TRUE
"1668",6798,57,NA,83.43,"F",2008,3,FALSE
"1669",6801,50,110.2,112.9,"F",2003,4,TRUE
"1670",6805,44,95.25,102.2,"F",2005,4,TRUE
"1671",6809,46,122,126.1,"F",2002,3,FALSE
"1672",6812,48,NA,103.8,"F",2008,3,FALSE
"1673",6815,53,NA,106.6,"F",2007,3,FALSE
"1674",6818,46,88.93,93.73,"F",2002,4,TRUE
"1675",6822,59,91.95,92.7,"F",2003,5,TRUE
"1676",6827,56,88,89.82,"M",2005,3,FALSE
"1677",6830,41,83.22,84.17,"M",2002,6,TRUE
"1678",6836,28,NA,111.3,"M",2008,3,FALSE
"1679",6839,65,103.6,108.6,"M",2002,3,FALSE
"1680",6842,51,NA,96.13,"F",2007,4,TRUE
"1681",6846,30,NA,99.88,"F",2007,4,TRUE
"1682",6850,35,96.7,99.88,"F",2006,3,FALSE
"1683",6853,37,NA,95,"M",2007,4,TRUE
"1684",6857,38,NA,73.42,"M",2008,3,FALSE
"1685",6860,34,75.57,76.92,"F",2002,5,TRUE
"1686",6865,28,74.23,77.15,"F",2004,3,FALSE
"1687",6868,28,NA,100.6,"F",2008,3,FALSE
"1688",6871,33,NA,84.52,"F",2007,3,FALSE
"1689",6874,29,NA,86.5,"F",2007,4,TRUE
"1690",6878,25,NA,94.33,"F",2008,3,FALSE
"1691",6881,24,86.42,90.08,"F",2006,5,TRUE
"1692",6886,35,74.48,75.9,"F",2006,3,FALSE
"1693",6889,26,81,82.17,"F",2006,5,TRUE
"1694",6894,29,102.4,108.1,"F",2006,3,FALSE
"1695",6897,30,NA,129.3,"F",2008,3,FALSE
"1696",6900,26,NA,93.28,"F",2008,3,FALSE
"1697",6903,30,82.8,84.77,"F",2001,3,FALSE
"1698",6906,26,NA,70.23,"F",2007,3,FALSE
"1699",6909,29,96.15,102.9,"F",2003,5,TRUE
"1700",6914,54,NA,81.23,"M",2007,4,TRUE
"1701",6918,43,74.38,75.65,"M",2001,9,TRUE
"1702",6927,36,90.85,94.62,"M",2005,3,FALSE
"1703",6930,40,NA,76.78,"M",2007,4,TRUE
"1704",6934,34,112.8,115.9,"F",2006,3,FALSE
"1705",6937,33,NA,87.45,"M",2008,3,FALSE
"1706",6940,36,86.38,92.7,"M",2004,3,FALSE
"1707",6943,35,NA,86.77,"M",2008,3,FALSE
"1708",6946,26,NA,84.32,"M",2007,4,TRUE
"1709",6950,57,72.03,72.23,"M",2006,5,TRUE
"1710",6955,37,81.42,82.43,"M",2001,5,TRUE
"1711",6960,30,NA,72.02,"M",2008,3,FALSE
"1712",6963,37,103.4,104.3,"M",2006,5,TRUE
"1713",6968,39,79.08,79.88,"M",2003,4,TRUE
"1714",6972,30,NA,81.68,"M",2008,3,FALSE
"1715",6975,36,NA,71.62,"M",2008,3,FALSE
"1716",6978,34,77.83,78.87,"M",2002,3,FALSE
"1717",6981,46,NA,107.1,"M",2007,3,FALSE
"1718",6984,48,NA,71.23,"M",2008,3,FALSE
"1719",6987,38,95.4,99.93,"M",2003,4,TRUE
"1720",6991,31,NA,67.75,"M",2008,3,FALSE
"1721",6994,56,87.5,89.67,"M",2001,9,TRUE
"1722",7003,32,NA,75.12,"M",2007,4,TRUE
"1723",7007,30,NA,50.47,"M",2007,3,FALSE
"1724",7010,55,77.83,79.82,"M",2004,6,TRUE
"1725",7016,29,NA,92.6,"M",2008,3,FALSE
"1726",7019,53,80.5,85.23,"M",2003,3,FALSE
"1727",7022,37,NA,81.23,"M",2008,3,FALSE
"1728",7025,31,61.6,61.67,"M",2005,3,FALSE
"1729",7028,41,73.47,73.97,"M",2002,5,TRUE
"1730",7033,29,56.82,56.87,"M",2002,4,TRUE
"1731",7037,34,82.57,84.78,"M",2005,3,FALSE
"1732",7040,32,NA,122.7,"M",2007,3,FALSE
"1733",7043,36,83.02,86.08,"M",2006,3,FALSE
"1734",7046,47,NA,89.73,"M",2007,4,TRUE
"1735",7050,67,NA,97.48,"M",2008,3,FALSE
"1736",7053,37,67.92,68.35,"M",2003,8,TRUE
"1737",7061,32,85.8,86.7,"M",2004,4,TRUE
"1738",7065,29,83.5,85.1,"M",2002,4,TRUE
"1739",7069,35,70.08,72.18,"M",2006,4,TRUE
"1740",7073,27,NA,110.2,"F",2008,3,FALSE
"1741",7076,28,99.32,104.8,"F",2003,6,TRUE
"1742",7082,32,119.8,125,"F",2005,3,FALSE
"1743",7085,30,NA,70.93,"F",2007,3,FALSE
"1744",7088,30,90.25,90.93,"F",2004,5,TRUE
"1745",7093,44,99.72,105.6,"F",2005,6,TRUE
"1746",7099,29,NA,119.9,"F",2007,4,TRUE
"1747",7103,35,81.78,83.5,"F",2006,3,FALSE
"1748",7106,35,NA,99.85,"F",2007,4,TRUE
"1749",7110,36,96.12,102.5,"F",2004,7,TRUE
"1750",7117,36,72.52,73.1,"M",2002,7,TRUE
"1751",7124,30,NA,81.13,"M",2008,3,FALSE
"1752",7127,30,NA,73.52,"M",2007,3,FALSE
"1753",7130,26,52.9,52.93,"M",2004,3,FALSE
"1754",7133,20,72.57,79.93,"M",2005,3,FALSE
"1755",7136,39,85.28,86.5,"M",2005,3,FALSE
"1756",7139,29,NA,94.1,"F",2008,3,FALSE
"1757",7142,31,NA,90.42,"F",2007,4,TRUE
"1758",7146,35,113.2,115.6,"F",2006,4,TRUE
"1759",7150,40,92.03,94.03,"F",2002,3,FALSE
"1760",7153,26,NA,94.65,"F",2008,3,FALSE
"1761",7156,33,NA,104.7,"F",2008,3,FALSE
"1762",7159,39,86.73,91.48,"F",2002,5,TRUE
"1763",7164,41,101.4,107.5,"F",2002,6,TRUE
"1764",7170,33,90.45,90.63,"F",2006,4,TRUE
"1765",7174,29,114.2,122.5,"F",2005,4,TRUE
"1766",7178,29,88.92,89.75,"F",2005,4,TRUE
"1767",7182,23,98.53,104.4,"F",2006,5,TRUE
"1768",7187,34,130.4,131.9,"F",2005,4,TRUE
"1769",7191,31,78.38,79.8,"M",2004,6,TRUE
"1770",7197,26,84.97,88.7,"F",2006,5,TRUE
"1771",7202,26,NA,98.7,"F",2007,4,TRUE
"1772",7206,23,81.1,82.07,"F",2002,6,TRUE
"1773",7212,31,86.28,89.55,"F",2003,3,FALSE
"1774",7215,28,NA,80.53,"F",2007,3,FALSE
"1775",7218,30,85.7,86.3,"F",2001,4,TRUE
"1776",7222,27,NA,106.2,"F",2008,3,FALSE
"1777",7225,29,95.42,99.82,"F",2004,4,TRUE
"1778",7229,33,NA,78.12,"F",2007,4,TRUE
"1779",7233,26,77.6,82.18,"F",2006,3,FALSE
"1780",7236,30,NA,84,"F",2007,3,FALSE
"1781",7239,30,NA,110.1,"F",2008,3,FALSE
"1782",7242,40,69.7,70.32,"M",2004,3,FALSE
"1783",7245,40,77.38,80.73,"M",2003,5,TRUE
"1784",7250,52,80.97,80.97,"M",2002,9,TRUE
"1785",7259,70,127.3,133.3,"M",2003,7,TRUE
"1786",7266,40,71.05,71.68,"M",2005,4,TRUE
"1787",7270,29,64.85,65.17,"M",2005,3,FALSE
"1788",7273,55,107.4,112.3,"M",2002,7,TRUE
"1789",7280,29,86.08,88.38,"M",2004,3,FALSE
"1790",7283,37,NA,116.7,"F",2007,4,TRUE
"1791",7287,41,89.18,89.18,"F",2002,3,FALSE
"1792",7290,24,NA,87.78,"F",2008,3,FALSE
"1793",7293,34,NA,102.7,"M",2008,3,FALSE
"1794",7296,31,93.73,103.7,"M",2006,3,FALSE
"1795",7299,34,73.83,75.4,"M",2005,6,TRUE
"1796",7305,17,NA,97.43,"M",2008,3,FALSE
"1797",7308,42,NA,83.62,"F",2008,3,FALSE
"1798",7311,52,110.2,110.8,"F",2001,6,TRUE
"1799",7317,56,NA,109.8,"F",2007,4,TRUE
"1800",7321,42,NA,112,"F",2008,3,FALSE
"1801",7324,46,118.1,121.6,"F",2004,4,TRUE
"1802",7328,45,NA,90.12,"F",2007,4,TRUE
"1803",7332,54,NA,139,"F",2007,4,TRUE
"1804",7336,50,NA,92.28,"F",2008,3,FALSE
"1805",7339,31,101.4,102.6,"F",2003,3,FALSE
"1806",7342,33,75.58,79.18,"F",2005,3,FALSE
"1807",7345,64,NA,95.65,"F",2008,3,FALSE
"1808",7348,46,66.98,67,"M",2003,3,FALSE
"1809",7351,39,79.82,80.45,"F",2001,3,FALSE
"1810",7354,39,78.25,82.43,"F",2001,4,TRUE
"1811",7358,53,NA,88.57,"F",2008,3,FALSE
"1812",7361,47,101.5,107.5,"F",2003,3,FALSE
"1813",7364,51,76.22,76.83,"M",2001,4,TRUE
"1814",7368,50,93.1,94.52,"M",2005,4,TRUE
"1815",7372,42,NA,127.6,"M",2007,3,FALSE
"1816",7375,33,103.5,106.4,"F",2002,4,TRUE
"1817",7379,51,96.23,98.08,"F",2002,8,TRUE
"1818",7387,48,90.67,94.8,"F",2002,7,TRUE
"1819",7394,31,NA,102.2,"F",2007,3,FALSE
"1820",7397,46,80.52,81.82,"M",2001,5,TRUE
"1821",7402,46,81.05,82.02,"M",2001,4,TRUE
"1822",7406,68,87.68,89.2,"M",2001,5,TRUE
"1823",7411,34,71.18,71.7,"M",2002,3,FALSE
"1824",7414,63,NA,80.6,"M",2008,3,FALSE
"1825",7417,41,74.37,74.85,"M",2001,7,TRUE
"1826",7424,33,89.27,95.93,"M",2004,3,FALSE
"1827",7427,54,NA,82.62,"M",2008,3,FALSE
"1828",7430,44,76.62,77.35,"M",2002,3,FALSE
"1829",7433,52,NA,71,"M",2007,3,FALSE
"1830",7436,37,73.75,75.18,"M",2006,3,FALSE
"1831",7439,43,NA,76.1,"M",2007,3,FALSE
"1832",7442,40,97.15,99.17,"M",2004,6,TRUE
"1833",7448,48,77.95,78.37,"M",2002,8,TRUE
"1834",7456,55,73.87,74.6,"M",2001,4,TRUE
"1835",7460,59,88.87,91,"M",2006,4,TRUE
"1836",7464,55,95.8,97.13,"M",2001,6,TRUE
"1837",7470,33,62.87,62.95,"M",2001,3,FALSE
"1838",7473,56,89.6,94.12,"M",2003,4,TRUE
"1839",7477,48,109.4,115.6,"M",2006,3,FALSE
"1840",7480,39,73.82,74.7,"M",2001,9,TRUE
"1841",7489,49,105.5,108.4,"M",2002,3,FALSE
"1842",7492,37,77.58,82.82,"M",2005,3,FALSE
"1843",7495,43,87.9,89.98,"M",2002,5,TRUE
"1844",7500,47,75.8,75.8,"M",2005,3,FALSE
"1845",7503,58,84.1,85.38,"M",2003,5,TRUE
"1846",7508,31,53.28,53.32,"M",2004,6,TRUE
"1847",7514,42,76.72,77.2,"M",2005,6,TRUE
"1848",7520,31,92.72,92.72,"M",2003,3,FALSE
"1849",7523,35,80.95,82.38,"M",2003,5,TRUE
"1850",7528,43,NA,78.65,"M",2007,3,FALSE
"1851",7531,37,NA,114.4,"M",2007,3,FALSE
"1852",7534,54,87.13,87.3,"M",2004,7,TRUE
"1853",7541,54,94.47,99.1,"M",2001,3,FALSE
"1854",7544,64,NA,124.6,"M",2008,3,FALSE
"1855",7547,61,79.28,80.52,"M",2001,9,TRUE
"1856",7556,57,134.3,137.8,"M",2004,3,FALSE
"1857",7559,49,NA,100.2,"F",2007,3,FALSE
"1858",7562,61,NA,101.2,"M",2007,3,FALSE
"1859",7565,74,NA,114.6,"M",2007,3,FALSE
"1860",7568,53,91.7,93.57,"M",2005,3,FALSE
"1861",7571,55,94.52,96.58,"F",2004,6,TRUE
"1862",7577,57,NA,108.3,"M",2008,3,FALSE
"1863",7580,57,104.4,108,"M",2005,6,TRUE
"1864",7586,30,NA,65.98,"M",2008,3,FALSE
"1865",7589,38,79.02,79.53,"F",2002,6,TRUE
"1866",7595,28,77.62,78.23,"F",2005,4,TRUE
"1867",7599,40,93.18,100.9,"F",2005,3,FALSE
"1868",7602,43,NA,98.87,"F",2007,3,FALSE
"1869",7605,51,76.3,76.4,"F",2003,4,TRUE
"1870",7609,43,89.08,93.7,"F",2006,4,TRUE
"1871",7613,46,97.03,102.6,"F",2002,6,TRUE
"1872",7619,32,NA,74.92,"M",2008,3,FALSE
"1873",7622,41,86.45,87.32,"F",2006,4,TRUE
"1874",7626,56,NA,101.7,"F",2007,3,FALSE
"1875",7629,36,NA,98.07,"M",2007,3,FALSE
"1876",7632,34,109.7,116.6,"M",2003,3,FALSE
"1877",7635,33,96.7,101,"M",2004,5,TRUE
"1878",7640,54,NA,92.15,"M",2007,4,TRUE
"1879",7644,48,109.8,111.2,"M",2002,5,TRUE
"1880",7649,50,110.7,114,"M",2001,8,TRUE
